time[sec]	velocity[sec]	angle[rad]	x[m]	y[m]
10.620000	24.578960	0.001833	-14.515564	169.476578
10.650000	24.648949	0.001868	-14.537415	170.190292
10.680000	24.724775	0.001885	-14.558784	170.908966
10.710000	24.800600	0.001921	-14.580154	171.627640
10.740000	24.876425	0.001949	-14.601524	172.346329
10.770000	24.958477	0.001958	-14.622208	173.071548
10.800000	25.040529	0.002002	-14.642883	173.796753
10.830000	25.126122	0.002023	-14.663010	174.526779
10.860000	25.211712	0.002067	-14.683136	175.256805
10.890000	25.300028	0.002088	-14.702698	175.991516
10.920000	25.388344	0.002135	-14.722260	176.726227
10.950000	25.478960	0.002159	-14.741219	177.465637
10.980000	25.569576	0.002211	-14.760185	178.205048
11.010000	25.662245	0.002238	-14.778519	178.949173
11.040000	25.754913	0.002287	-14.796852	179.693298
11.070000	25.849459	0.002310	-14.814522	180.442200
11.100000	25.944004	0.002363	-14.832191	181.191101
11.130000	26.040264	0.002389	-14.849152	181.944824
11.160000	26.136524	0.002446	-14.866112	182.698547
11.190000	26.234356	0.002475	-14.882317	183.457184
11.220000	26.332188	0.002538	-14.898521	184.215820
11.250000	26.431446	0.002569	-14.913910	184.979462
11.280000	26.530704	0.002633	-14.929298	185.743088
11.310000	26.631245	0.002663	-14.943802	186.511856
11.340000	26.732458	0.002726	-14.957733	187.283768
11.370000	26.833670	0.002797	-14.971664	188.055679
11.400000	26.935747	0.002833	-14.984749	188.832047
11.430000	27.038363	0.002902	-14.997208	189.611526
11.460000	27.140976	0.002982	-15.009659	190.390991
11.490000	27.244287	0.003025	-15.021179	191.174911
11.520000	27.348030	0.003086	-15.032028	191.961868
11.550000	27.451773	0.003170	-15.042870	192.748810
11.580000	27.556118	0.003213	-15.052635	193.540390
11.610000	27.660789	0.003276	-15.061707	194.334793
11.640000	27.717091	0.003351	-15.070107	195.131775
11.670000	27.742359	0.003423	-15.077820	195.929764
11.700000	27.767630	0.003502	-15.085526	196.727753
11.730000	27.769598	0.003558	-15.091957	197.525833
11.760000	27.769915	0.003623	-15.097633	198.323334
11.790000	27.769981	0.003682	-15.102570	199.120209
11.820000	27.769997	0.003729	-15.106789	199.916367
11.850000	27.770000	0.003748	-15.110298	200.711868
11.880000	27.770000	0.003751	-15.113113	201.506622
11.910000	27.770000	0.003721	-15.115250	202.300674
11.940000	27.770000	0.003647	-15.116486	203.093491
11.970000	27.770000	0.003008	-15.117439	204.024826
12.000000	27.770000	0.003329	-15.117851	204.846786
12.030000	27.770000	0.002918	-15.117996	205.635330
12.060000	27.770000	0.002341	-15.118027	206.413528
12.090000	27.611290	0.001975	-15.117744	207.189743
12.120000	27.439028	0.002098	-15.117149	207.964935
12.150000	27.255072	0.002539	-15.115532	208.739594
12.180000	27.068254	0.003745	-15.113068	209.515213
12.210000	26.876066	0.005180	-15.108192	210.295502
12.240000	26.658278	0.006932	-15.099388	211.166260
12.270000	26.452150	0.010973	-15.087105	211.977829
12.300000	26.268497	0.014272	-15.074425	212.695831
12.330000	26.059492	0.013639	-15.056305	213.500992
12.360000	25.844746	0.013853	-15.035225	214.318115
12.390000	25.628016	0.013183	-15.012825	215.136734
12.420000	25.408604	0.012154	-14.988556	215.953888
12.450000	25.188526	0.010498	-14.963783	216.768188
12.480000	24.967760	0.008962	-14.938568	217.577866
12.510000	24.746210	0.007480	-14.913132	218.381577
12.540000	24.523787	0.006112	-14.887665	219.178543
12.570000	24.353731	0.005813	-14.868340	219.780441
12.600000	24.141476	0.003810	-14.844490	220.521667
12.630000	23.918104	0.002881	-14.820076	221.279160
12.660000	23.692726	0.002251	-14.795868	222.029572
12.690000	23.467352	0.001756	-14.771667	222.779984
12.720000	23.236828	0.001402	-14.747948	223.514282
12.750000	23.002285	0.001095	-14.724541	224.238922
12.780000	22.763115	0.000865	-14.701431	224.953995
12.810000	22.518713	0.000682	-14.678627	225.659225
12.840000	22.268530	0.000548	-14.656143	226.354218
12.870000	22.018351	0.000427	-14.633659	227.049194
12.900000	21.758751	0.000340	-14.611725	227.727112
12.930000	21.493464	0.000275	-14.590172	228.392914
12.960000	21.228178	0.000221	-14.568626	229.058716
12.990000	20.955908	0.000182	-14.547676	229.705627
13.020000	20.680862	0.000151	-14.527138	230.339676
13.050000	20.405819	0.000123	-14.506599	230.973709
13.080000	20.128941	0.000105	-14.486649	231.589508
13.110000	19.852062	0.000081	-14.466698	232.205307
13.140000	19.575891	0.000064	-14.447372	232.801666
13.170000	19.299723	0.000059	-14.428047	233.398041
13.200000	19.027115	0.000058	-14.409309	233.976044
13.230000	18.754509	0.000044	-14.390572	234.554047
13.260000	18.488081	0.000034	-14.372383	235.115204
13.290000	18.221657	0.000039	-14.354195	235.676361
13.320000	17.963728	0.000042	-14.336502	236.221985
13.350000	17.705799	0.000033	-14.318802	236.767609
13.380000	17.458099	0.000024	-14.301575	237.298798
13.410000	17.210402	0.000025	-14.284348	237.829987
13.440000	16.973656	0.000023	-14.267563	238.347565
13.470000	16.736910	0.000025	-14.250771	238.865143
13.500000	16.511017	0.000024	-14.234406	239.369629
13.530000	16.285126	0.000021	-14.218040	239.874084
13.560000	16.059235	0.000017	-14.201675	240.378571
13.590000	15.847136	0.000014	-14.185883	240.865417
13.620000	15.635036	0.000013	-14.170082	241.352234
13.650000	15.432422	0.000012	-14.154724	241.825592
13.680000	15.229807	0.000013	-14.139366	242.298950
13.710000	15.027194	0.000017	-14.124008	242.772339
13.740000	14.835700	0.000017	-14.109207	243.228302
13.770000	14.644207	0.000016	-14.094414	243.684265
13.800000	14.452716	0.000014	-14.079613	244.140198
13.830000	14.271529	0.000015	-14.065399	244.578064
13.860000	14.090343	0.000011	-14.051193	245.015930
13.890000	13.909160	0.000010	-14.036980	245.453766
13.920000	13.736875	0.000009	-14.023346	245.873901
13.950000	13.564590	0.000010	-14.009712	246.294006
13.980000	13.392307	0.000015	-13.996078	246.714142
14.010000	13.227481	0.000016	-13.982994	247.117096
